Phase 0,Phase 1,Phase 2,Phase 3,Phase 4,f_score,mse,epe,accuracy,jaccard,file,pel
15.01,905.87,1540.12,84.79,14.01,0.1974194097858025,0.07189559936523438,1.9123376623376624,0.9281044006347656,0.890479565320104,lena,pelBase
13.58,456.96,448.58,29.2,0.0,0.2592127612436305,0.06042771084337349,1.5876975814130643,0.9395722891566265,0.8510945189207535,apartment,pelModificato
8.51,474.57,423.24,28.74,4.55,0.2608119059898327,0.060439759036144576,1.5949271247397312,0.9395602409638554,0.8500381259001949,apartment,pelBase
5.61,418.56,309.9,15.64,15.62,0.3496396593142608,0.034449650066516284,0.8661588683351469,0.9655503499334838,0.7881434431652772,birds,pelModificato
18.64,488.55,405.33,0.0,15.65,0.35009797517962116,0.03453062640985598,0.8755399568034558,0.9654693735901441,0.7878068091844814,birds,pelBase
33.04,1359.87,4906.01,186.22,21.76,0.23737009980450666,0.05719135802469136,2.1881774012707114,0.9428086419753087,0.8653318545327184,cityscapes,pelModificato
27.82,1911.02,3242.97,147.15,24.57,0.2408532676973566,0.057116126543209876,2.178913540572276,0.9428838734567901,0.8630851746050254,cityscapes,pelBase
26.04,1531.98,3522.99,134.48,24.44,0.2886273659092142,0.07590856481481481,1.5224388604084378,0.9240914351851852,0.8313474458106224,kitchen,pelModificato
44.29,1732.11,5294.97,138.02,30.72,0.28854553987220677,0.07603395061728395,1.523133609680526,0.9239660493827161,0.8314033200447173,kitchen,pelBase
3.27,426.81,254.66,1.64,0.0,0.256838905775076,0.028283879923650876,1.4298760600130462,0.9717161200763491,0.8526591107236269,rose,pelModificato
10.75,458.64,308.56,13.19,0.0,0.2565889124507725,0.028387992365087628,1.449158031088083,0.9716120076349124,0.8528236316246742,rose,pelBase
6.55,447.71,626.85,42.26,5.19,0.24717542120911795,0.04393545028630921,1.0648598563817466,0.9560645497136908,0.8589845075200724,saint,pelModificato
11.73,500.95,505.39,16.57,17.44,0.2455621301775148,0.04424778761061947,1.0638882528051294,0.9557522123893806,0.8600337268128162,saint,pelBase
12.99,418.56,1361.15,82.56,8.27,0.1966533180778032,0.07275859612308211,2.776373787834264,0.9272414038769179,0.8909509080815291,worm,pelModificato
18.57,540.0,839.56,63.93,17.5,0.1998864281658149,0.07300470851872722,2.7552821997105643,0.9269952914812728,0.8889589905362776,worm,pelBase
10.12,787.42,2403.37,95.78,21.88,0.19624092268261425,0.07177734375,1.9088580764814977,0.92822265625,0.8912044711788946,lena,pelModificato
14.9,904.22,1694.99,90.63,20.06,0.1967101338106196,0.07190704345703125,1.9117672906230776,0.9280929565429688,0.890915965592211,lena,pelBase
0.0,446.84,474.69,29.7,5.54,0.26264117516793384,0.060174698795180726,1.5826517024919156,0.9398253012048193,0.8488273283480625,apartment,pelModificato
10.43,494.1,425.18,15.68,15.61,0.2631075814398117,0.06036746987951807,1.6008664531926917,0.939632530120482,0.8485182049110923,apartment,pelBase
9.77,434.75,356.19,15.67,15.62,0.3543143885676885,0.034235641159118514,0.86078697421981,0.9657643588408815,0.7847010473286491,birds,pelModificato
16.24,477.42,309.78,14.03,0.0,0.35355512067840833,0.03439180982127364,0.8735199138858988,0.9656081901787263,0.7852614896988906,birds,pelBase
37.05,1345.28,4828.72,156.9,31.89,0.23547259076416743,0.05735725308641975,2.2027380211574363,0.9426427469135803,0.8665520356716113,cityscapes,pelModificato
30.79,1587.4,2601.99,146.95,20.21,0.23600597353107783,0.05723765432098765,2.186251248751249,0.9427623456790123,0.8662093125091228,cityscapes,pelBase
27.44,1525.31,4541.49,141.04,13.64,0.28796665458499454,0.0757908950617284,1.5247453615654452,0.9242091049382716,0.8317984545358315,kitchen,pelModificato
24.35,1700.03,4389.79,122.73,29.67,0.2891701117469716,0.0759548611111111,1.5208595124403117,0.9240451388888888,0.8309767009961169,kitchen,pelBase
15.63,407.94,254.28,23.62,0.0,0.25759416767922233,0.028272311874602347,1.4306188925081433,0.9717276881253977,0.8521617852161785,rose,pelModificato
10.08,499.15,314.12,0.0,15.62,0.2532526475037821,0.028549945051767018,1.455749354005168,0.971450054948233,0.8550147237138404,rose,pelBase
15.41,431.61,482.63,27.97,0.0,0.24905884683970675,0.04384290589392099,1.0645683869474658,0.956157094106079,0.8577571574063596,saint,pelModificato
12.11,495.39,628.58,20.71,11.24,0.24450793025317702,0.044357684076580486,1.0680676107811786,0.9556423159234195,0.8607182940516274,saint,pelBase
